,Unnamed: 0,username,text
93,93,mult co fire ems log,"['ta', 'traffic', 'accid', 'st', 'respons', 'fire', 'em', 'at', 'nb', 'i', 'brg', 'at', 'midspan', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
94,94,kelly  a resister,"['yay', 'rain', 'so', 'wonder', 'to', 'see', 'the', 'bridg', 'cloak', 'in', 'rain', 'cloud', 'instead', 'of', 'smoke', 'or', 'smog', 'head', 'north', 'to', 'spend', 'the', 'day', 'outsid', 'tote', 'raincoat', 'and', 'boot', 'and', 'smile', 'golden', 'gate']"
95,95,drsu   ,"['blow', 'a', 'kiss', 'fire', 'a', 'gun', 'all', 'you', 'need', 'is', 'somebodi', 'to', 'lean', 'on', 'hydeaway', 'rose', 'hydeandseek', 'hydeout', 'badandbouje', 'sup', 'supman', 'sexyvega', 'hyde', 'loung']"
96,96,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
97,97,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'russel', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
98,98,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'grand', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
99,99,death certificate,"['on', 'thi', 'day', 'year', 'ago', 'snoop', 'doggi', 'dogg', 'releas', 'doggystyl', 'death', 'row', 'record', 'wa', 'on', 'fire', 'congrat', 'on', 'snoop', 'for', 'earn', 'a', 'star', 'on', 'the', 'hollywood', 'walk', 'of', 'fame', 'just', 'a', 'few', 'day', 'ago']"
100,100,pattyscheeler,"['no', 'is', 'a', 'power', 'motiv', 'everi', 'time', 'someon', 'told', 'you', 'no', 'or', 'that', 'you', 'couldn', 't', 'do', 'someth', 'didn', 't', 'that', 'just', 'spark', 'a', 'fire', 'under', 'you', 'so', 'thank', 'to', 'all', 'those', 'that', 'told', 'you', 'no', 'or', 'you']"
101,101,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'n', 'riverg', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
102,102,javier ceriani,"['surgir', 'entr', 'la', 'ceniza', 'california', 'calabasa', 'incendio', 'elaguila', 'thanksgiv', 'hors', 'peta', 'peta', 'animal', 'farm', 'ranch', 'fire', 'friday', 'calabasa', 'california']"
103,103,jeremy ogle,"['regran', 'ed', 'from', 'spartanrac', 'drop', 'an', 'emoji', 'below', 'that', 'describ', 'how', 'you', 'feel', 'when', 'you', 'reach', 'the', 'fire', 'jump', 'firejumpfriday', 'spartan', 'regrann', 'youadapt']"
104,104,wsdot tacoma,"['clear', 'vehicl', 'fire', 'on', 'i', 'sb', 'at', 'milepost', 'near', 'delin', 'st']"
105,105,mult co fire ems log,"['ilburn', 'illeg', 'burn', 'at', 'block', 'of', 'n', 'kerbi', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
106,106,krista lanphear,"['extrem', 'thank', 'for', 'all', 'the', 'peopl', 'in', 'thi', 'blurri', 'photo', 'the', 'smoke', 'hous', 'restaur']"
107,107,roxy cross,"['bless', 'cal', 'fire', 'and', 'all', 'the', 'fire', 'depart', 'gather', 'to', 'fight', 'the', 'camp', 'fire', 'in', 'butt', 'counti', 'northern', 'california', 'for', 'their', 'incred', 'work', 'effort', 'to', 'get', 'thi', 'horribl', 'disast']"
108,108,driven by love,"['i', 'm', 'not', 'gonna', 'lie', 'we', 'have', 'been', 'spend', 'a', 'lot', 'of', 'time', 'in', 'our', 'pj', 's', 'thi', 'week', 'all', 'cozi', 'up', 'on', 'the', 'couch', 'with', 'our', 'netflix', 'fire', 'turn', 'on', 'we', 'alway', 'had', 'a', 'fireplac', 'grow', 'up', 'so', 'it', 's']"
109,109,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'reedway', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
110,110,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'rodney', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
111,111,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'n', 'leadbett', 'rd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
112,112,anonymous dealer of death,"['bout', 'to', 'smoke', 'thi', 'super', 'charg', 'wood', 'then', 'bust', 'down', 'a', 'plate', 'outta', 'tupperwar', 'caus', 'that', 's', 'what', 'black', 'friday', 'realli', 'all', 'about', 'san', 'jose', 'california']"
113,113,devil s slide taproom,"['come', 'and', 'join', 'u', 'today', 'to', 'rais', 'some', 'hell', 'for', 'the', 'survivor', 'of', 'the', 'camp', 'fire', 'up', 'in', 'paradis', 'in', 'the', 'last', 'week', 'we', 'have', 'rais', 'for', 'the', 'sierranevada', 'relief', 'fund', 'all', 'proce', 'from']"
114,114,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'st', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
115,115,william justo,"['observ', 'a', 'love', 'but', 'super', 'hazi', 'smoki', 'sunset', 'over', 'the', 'citi', 'thi', 'even', 'cough', 'cough', 'air', 'qualiti', 'wa', 'deem', 'veri', 'unhealthi', 'for', 'mani', 'here', 'in', 'the', 'bay', 'area', 'thank', 'to', 'the', 'camp', 'fire']"
116,116,william justo,"['the', 'autumn', 'sun', 'slowli', 'set', 'thru', 'our', 'hazi', 'smoki', 'sky', 'air', 'qualiti', 'wa', 'deem', 'veri', 'unhealthi', 'for', 'mani', 'here', 'in', 'the', 'bay', 'area', 'thank', 'to', 'the', 'camp', 'fire', 'burn', 'to', 'the', 'north', 'limit', 'outdoor']"
117,117,rick willis,"['i', 'have', 'a', 'lot', 'to', 'be', 'thank', 'for', 'and', 'thi', 'year', 'i', 'am', 'especi', 'grate', 'for', 'all', 'the', 'firefight', 'who', 'work', 'tirelessli', 'to', 'fight', 'these', 'devast', 'fire', 'i', 'am', 'give', 'back', 'by', 'donat', 'to']"
118,118,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'n', 'tillamook', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
119,119,william justo,"['a', 'hazi', 'sunset', 'onc', 'again', 'over', 'the', 'citi', 'air', 'qualiti', 'wa', 'deem', 'veri', 'unhealthi', 'for', 'mani', 'here', 'in', 'the', 'bay', 'area', 'thank', 'to', 'the', 'camp', 'fire', 'burn', 'to', 'the', 'north', 'limit', 'outdoor', 'exposur', 'pic']"
120,120,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
121,121,hart hanson,"['brother', 'in', 'law', 'chill', 'from', 'run', 'in', 'torrenti', 'rain', 'warm', 'by', 'the', 'fire', 'accompani', 'by', 'funni', 'littl', 'dog', 'big', 'sur', 'california']"
122,122,cameron meredith  ,"['today', 'is', 'a', 'good', 'day', 'to', 'sit', 'by', 'the', 'fire', 'and', 'relax', 'relax', 'black', 'friday', 'home', 'fire', 'interior', 'design', 'warm', 'hous', 'decor', 'love', 'architectur', 'instagood']"
123,123,william justo,"['veri', 'bad', 'unhealthi', 'air', 'qualiti', 'observ', 'around', 'the', 'bay', 'area', 'thi', 'day', 'due', 'to', 'wildfir', 'burn', 'around', 'norcal', 'particularli', 'the', 'camp', 'fire', 'sf', 'wa', 'also', 'rank', 'the', 'worst', 'air', 'qualiti']"
124,124,william justo,"['the', 'state', 'of', 'california', 'continu', 'to', 'have', 'veri', 'bad', 'unhealthi', 'air', 'qualiti', 'due', 'to', 'wildfir', 'burn', 'around', 'the', 'region', 'particularli', 'the', 'camp', 'fire', 'even', 'the', 'haze', 'wa', 'easili', 'visibl', 'at', 'night']"
125,125,william justo,"['california', 'includ', 'the', 'bay', 'area', 'continu', 'to', 'have', 'veri', 'bad', 'unhealthi', 'air', 'qualiti', 'due', 'to', 'wildfir', 'rage', 'around', 'the', 'region', 'particularli', 'the', 'camp', 'fire', 'limit', 'outdoor', 'activ']"
126,126,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'glenn', 'wide', 'dr', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
127,127,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'st', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
