,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
95,blow kiss fire gun need somebody lean hydeaway rose hydeandseek hydeout badandboujee sup supman sexyvegas hyde lounge,0.14799435618423878,0.138597121675389,1,"Blow a Kiss. Fire a Gun. 
All you need is somebody to lean on. #hydeaway #roses #hydeandseek #hydeout #badandboujee #sup #supman #sexyvegas @ Hyde Lounge https://www.instagram.com/p/BqiSmnuFflNS-N73baU80JymvtH0lSwpgJpwMw0/?utm_source=ig_twitter_share&igshid=lujdlzvuizkh …",drsu702
96,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 8500 BLOCK OF SE 17TH AVE, PORTLAND, OR [Portland Fire #RP18000096729] 10:56 #pdx911",Mult Co Fire/EMS log
97,med medical block ne russell st portland portland fire rp pdx,0.14748505479158905,0.14590948590701006,1,"MED - MEDICAL at 15700 BLOCK OF NE RUSSELL ST, PORTLAND, OR [Portland Fire #RP18000096724] 10:37 #pdx911",Mult Co Fire/EMS log
98,med medical block se grand ave portland portland fire rp pdx,0.14480331895856494,0.13333894002952273,1,"MED - MEDICAL at 500 BLOCK OF SE GRAND AVE, PORTLAND, OR [Portland Fire #RP18000096730] 11:05 #pdx911",Mult Co Fire/EMS log
99,day year ago snoop doggy dogg released doggystyle death row record wa fire congrats snoop earning star hollywood walk fame day ago,0.12396515923238728,0.11803033249401232,1,"On this day, 25 years ago, Snoop Doggy Dogg released “Doggystyle”. Death Row Records was on fire. Congrats on Snoop for earning a star on the Hollywood Walk of Fame just a few days ago.… https://www.instagram.com/p/BqiRJkDFttz/?utm_source=ig_twitter_share&igshid=1t5db37w0l05j …",Death Certificate
101,med medical block n rivergate blvd portland portland fire rp pdx,0.1440913425750397,0.13308709034969002,1,"MED - MEDICAL at 9200 BLOCK OF N RIVERGATE BLVD, PORTLAND, OR [Portland Fire #RP18000096727] 10:48 #pdx911",Mult Co Fire/EMS log
102,surgir entre la cenizas california calabasas incendios elaguila thanksgiving horse peta peta animales farm ranch fire friday calabasas california,0.13688541691523562,0.13649524843910282,1,"Surgir entre las Cenizas #california #calabasas #incendios #elaguila #thanksgiving #horse #peta @peta #animales #farm #ranch #fire #friday @ Calabasas, California https://www.instagram.com/p/BqiQVEBgjOJ/?utm_source=ig_twitter_share&igshid=tgg7756wrowj …",JAVIER CERIANI
105,ilburn illegal burning block n kerby ave portland portland fire rp pdx,0.14028140666423256,0.12761574791055494,1,"ILBURN - ILLEGAL BURNING at 7700 BLOCK OF N KERBY AVE, PORTLAND, OR [Portland Fire #RP18000096735] 11:32 #pdx911",Mult Co Fire/EMS log
108,gonna lie spending lot time pj week cozied couch netflix fire turned always fireplace growing,0.14099485882133103,0.13614750269644538,1,"I’m not gonna lie, we have been spending a lot of time in our pj’s this week all cozied up on the couch with our Netflix fire turned on We always had a fireplace growing up, so it’s… https://www.instagram.com/p/BqiNcklBnzM/?utm_source=ig_twitter_share&igshid=ipl1aivwg0jq …",Driven by Love
109,med medical block se reedway st portland portland fire rp pdx,0.1432078325425719,0.13823867148816152,1,"MED - MEDICAL at 8900 BLOCK OF SE REEDWAY ST, PORTLAND, OR [Portland Fire #RP18000096725] 10:43 #pdx911",Mult Co Fire/EMS log
