,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
6403,kimbap paradise los angeles ca,0.1438918594228163,0.14146302640012495,1,"I'm at Kimbap Paradise in Los Angeles, CA https://www.swarmapp.com/c/1vdQG1IyaCX ",Catalina,"(39.73759295790874, -121.60382678443908)",39.73759295790874,-121.60382678443908,POINT (-121.6038267844391 39.73759295790874)
6404,view big back window show smoke campfire hovering berkeley hill ac transit line route berkeley ca pic twitter com pq dbxxx,0.14083091063727488,0.13724909218019954,1,"The view through the big back window shows smoke from the #CampFire is hovering over the #Berkeley hills. (@ AC Transit Line/Route 80 in Berkeley, CA) https://www.swarmapp.com/c/fFitDo9u8Xg pic.twitter.com/02pq9dbxXx","Safer at home, Yoda is","(39.91989614381589, -121.66742485008665)",39.91989614381589,-121.66742485008665,POINT (-121.6674248500866 39.91989614381589)
6405,smoke cleared enough hit americanriverbiketrail lucy enjoyed swim sundayfunday dog doggie dogsofinstagram river fair oak california,0.13948328177373145,0.13682259818353373,1,"The smoke cleared just enough to hit the #americanriverbiketrail! Lucy enjoyed a #swim! #Sundayfunday #dog #doggie #dogsofinstagram #river @ Fair Oaks, California https://www.instagram.com/p/BqDtA0OnE4M/?utm_source=ig_twitter_share&igshid=1h74y5f2359ko …",Shawn,"(39.81196583047333, -121.67519734660975)",39.81196583047333,-121.67519734660975,POINT (-121.6751973466097 39.81196583047333)
6406,happy veteran day sundayzzzzzzz funday nfl work school night come smoke chill great vipe mix tangier new lemon lime cane mint happy hour night long,0.14527770230870699,0.13549859121421493,1,HAPPY VETERANS DAY SundaYzzzzzzz FunDay  NFL  nO wOrk nO School 2NIGHT come SMOKE & CHILL great VIPE mIx of Tangiers (New Lemon-Lime +Cane mint  HAppY Hour's aLL night long … https://www.instagram.com/p/BqDsVbaDzJF/?utm_source=ig_twitter_share&igshid=1vaqnt4i5rzek …,Velvet Room Hookah Lounge,"(39.87535017449322, -121.60183147107101)",39.87535017449322,-121.60183147107101,POINT (-121.601831471071 39.87535017449322)
6407,spread word healapp offering free dr house call anyone affected awful fire dear neighbor like u heal gravely concerned,0.14051408595986647,0.12848339107472012,1,"Spread the word~ @HealApp is offering FREE Dr House Calls to anyone affected by these awful fires!! 
•
•
Dear Neighbors:
Like you, all of us at Heal are gravely concerned about the… https://www.instagram.com/p/BqDsIiIgylY/?utm_source=ig_twitter_share&igshid=1vvlqhcyco4zb …",Gabrielle D'Addario,"(39.88999537387256, -121.791997924135)",39.88999537387256,-121.791997924135,POINT (-121.791997924135 39.88999537387256)
6408,californian fire bad like flying china aqi oracle,0.12782886200903384,0.1126912700315372,1,"The Californian fire is so bad, it’s like flying in China, how is that only 88 AQI. @ Oracle https://www.instagram.com/p/BqDsV0oFEyH/?utm_source=ig_twitter_share&igshid=1fef5y82chlfh …",Zhong Liu MK Fan,"(39.92662699127233, -121.56554131279692)",39.92662699127233,-121.56554131279692,POINT (-121.5655413127969 39.92662699127233)
6409,road closed lane closed due woolsey fire woodlandhills u nb vly cir blvd reyes adobe rd latraffic,0.13714225886845208,0.12599509429786984,1,!! road closed !! all lanes closed due to the woolsey fire in #WoodlandHills on US-101 NB between Vly Cir Blvd and Reyes Adobe Rd #LAtraffic,Total Traffic LA,"(39.572948618617296, -121.6646521954668)",39.572948618617296,-121.6646521954668,POINT (-121.6646521954668 39.5729486186173)
6410,road closed decker rd westlake blvd closed due brush fire malibu hwy nb ca u latraffic,0.14561483637150546,0.13696047827822333,1,!! road closed !! decker rd / westlake blvd is closed due to the brush fire in #Malibu on Hwy 23 NB between CA-1 and US-101 #LAtraffic,Total Traffic LA,"(39.7011240955152, -121.66663994197292)",39.7011240955152,-121.66663994197292,POINT (-121.6666399419729 39.7011240955152)
6411,road closed lane closed due woolsey fire agourahills u sb reyes adobe rd vly cir blvd latraffic,0.13556983922604235,0.1308571751342152,1,!! road closed !! all lanes closed due to the woolsey fire in #AgouraHills on US-101 SB from Reyes Adobe Rd to Vly Cir Blvd #LAtraffic,Total Traffic LA,"(39.89846479682162, -121.48498208282489)",39.89846479682162,-121.48498208282489,POINT (-121.4849820828249 39.89846479682162)
6412,med medical block ne sandy blvd portland portland fire rp pdx,0.14530596874680268,0.1280335854684857,1,"MED - MEDICAL at 8300 BLOCK OF NE SANDY BLVD, PORTLAND, OR [Portland Fire #RP18000093379] 13:41 #pdx911",Mult Co Fire/EMS log,"(39.87894190606504, -121.4786670164008)",39.87894190606504,-121.4786670164008,POINT (-121.4786670164008 39.87894190606504)
