,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
210,almcom monitored commercial fire alarm block ne argyle dr portland portland fire rp pdx,0.13602040358500844,0.13633901343936436,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1600 BLOCK OF NE ARGYLE DR, PORTLAND, OR [Portland Fire #RP18000096668] 04:47 #pdx911",Mult Co Fire/EMS log
220,med medical se grant st se th pl portland portland fire rp pdx,0.14456992084024356,0.14780507774180462,0,"MED - MEDICAL at SE GRANT ST / SE 28TH PL, PORTLAND, OR [Portland Fire #RP18000096657] 02:52 #pdx911",Mult Co Fire/EMS log
226,med medical se th ave e burnside st portland portland fire rp pdx,0.1500193710876521,0.15029436996448378,0,"MED - MEDICAL at SE 124TH AVE / E BURNSIDE ST, PORTLAND, OR [Portland Fire #RP18000096649] 01:40 #pdx911",Mult Co Fire/EMS log
228,med medical sw mill st sw th ave portland portland fire rp pdx,0.14869284910423966,0.14961054270818971,0,"MED - MEDICAL at SW MILL ST / SW 10TH AVE, PORTLAND, OR [Portland Fire #RP18000096646] 01:35 #pdx911",Mult Co Fire/EMS log
231,almcom monitored commercial fire alarm block ne glisan st portland portland fire rp pdx,0.14020650530251058,0.14230937201228894,0,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 11500 BLOCK OF NE GLISAN ST, PORTLAND, OR [Portland Fire #RP18000096654] 02:18 #pdx911",Mult Co Fire/EMS log
235,afire apartment multi dwelling structure fire block se cesar e chavez blvd portland portland fire rp,0.14711518873434654,0.14859136850622476,0,"AFIRE - APARTMENT OR MULTI DWELLING STRUCTURE FIRE at 4600 BLOCK OF SE CESAR E CHAVEZ BLVD, PORTLAND, OR [Portland Fire #RP18000096638]",Mult Co Fire/EMS log
238,polreq police request dispatch balance sw th ave sw mill st portland fire rp pdx,0.1446878929907156,0.1464263563168161,0,POLREQ - POLICE REQUEST (DISPATCH/BALANCE) at SW 6TH AVE / SW MILL ST [Portland Fire #RP18000096650] 01:50 #pdx911,Mult Co Fire/EMS log
241,make sure stove fireplace putting family risk thanksgiving sandiego fire pet er pet,0.15164775895954155,0.15576346727565676,0,Make sure the stove and fireplace are not putting you or your family at risk. #thanksgiving #sandiego #fire #pets @ ER4PETS https://www.instagram.com/p/BqhKIxUnTwT/?utm_source=ig_twitter_share&igshid=18yeiogl3hxyk …,PETSURG & ER4PETS
242,wonderful see simms helping fire victim warm clothes thanks inspiring message paradise california,0.1450782359614558,0.1505643837620354,0,"This is wonderful to see...Simms helping out fire victims with warm clothes. thanks for the inspiring message! @ Paradise, California https://www.instagram.com/p/BqhKCSwjqBr/?utm_source=ig_twitter_share&igshid=diqg1er2p71d …",Ross Purnell
245,youngest two kid needed cheering first mass shooting borderline across street fire swept thru home town thousandoaks decided,0.1453920155833787,0.15078262650205979,0,Our youngest two kids needed some cheering up. First the mass shooting at Borderline across the street and then the fires swept thru our home town of #thousandoaks. So we decided to… https://www.instagram.com/p/BqhFyFkAOdc/?utm_source=ig_twitter_share&igshid=dn3jxvb5hkv5 …,Sarah Petty Silikula
