,username,text
157,mult co fire ems log,med   medical at     block of ne    nd ave  portland  or  portland fire  rp                    pdx   
158,mult co fire ems log,med   medical at      block of sw  th ave  portland  or  portland fire  rp                    pdx   
159,mult co fire ems log,med   medical at      block of se marion st  portland  or  portland fire  rp                    pdx   
160,mult co fire ems log,almres   monitored residential fire alarm at      block of se sherrett st  portland  or  portland fire  rp                    pdx   
161,mult co fire ems log,med   medical at       block of se powell blvd  portland  or  portland fire  rp                    pdx   
162,jennifer steele,we re at sunrise mall at sunrise marketplace by macy s collecting gift cards and cash donations for the victims of the camp fire come down and see us we re here until noon   thanks to the    
163,mult co fire ems log,almcom   monitored commercial fire alarm at       block of ne glisan st  portland  or  portland fire  rp                    pdx   
164,jason poling,we had a great week and a half hanging out with gwen s dad  mike    california didn t exactly put her best foot forward for him with all the smoke  but maybe next trip he can see how    
165,horrible imaginings film festival,scarlet s bff    paradise hills  san diego   
166,mult co fire ems log,med   medical at      block of n mccoy ct  portland  or  portland fire  rp                    pdx   
167,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
168,mult co fire ems log,med   medical at      block of se    th ave  portland  or  portland fire  rp                    pdx   
169,brew hawg bbq,the holidays are here and we are here to serve you  call us for all your catering needs              we will be happy to book your event  we deliver or can smoke on site   brewhawg    
170,servpronorthshasta,the carr fire  camp fire and servpro    carrfire  campfire  servpro  shastacounty  reddingcaliforniapic twitter com g  kawf zg
171,awcrapahellboypodcast,class pictures are awkward for everyone even the  halfdemonhero   listen now to s  e    pancakes w  taylor williams and elliott weare campfire applepodcasts spotify or wherever you    
172,mult co fire ems log,smokea   smoke investigation outside a structure at      block of se mcloughlin blvd  portland  or  portland fire  rp                  
173,krenshawfilms,the vast stillness and barren landscape  the deep peace of the desert stokes my creative fire  i can see why my sister chose to live here     desertlife   d  getoutside   morongo valley     
174,swift homicide,sneak peak at the new single on all platforms  swifthomicide     sounds  grrr  stockton  fire  mind  clip        tomorrow  available  spotify  itunes  youtube link in bio   stockton     
175,jeffalopolis,but if all you see is fire and destruction  you could always just turn around   malibu beach    rd point   
176,mult co fire ems log,med   medical at     block of se grand ave  portland  or  portland fire  rp                    pdx   
177,mult co fire ems log,med   medical at      block of se main st  portland  or  portland fire  rp                    pdx   
178,jeffrey bezore,calfire reporting  campfire     contained          acres burned  and        structures  all types  destroyed  conditions  the rain has assisted in extinguishing hot spots and smoldering    
179,alisa,my mom lost everything in the paradise camp fire   paradise  california   
180,mult co fire ems log,med   medical at     block of nw irving st  portland  or  portland fire  rp                    pdx   
181,mult co fire ems log,med   medical at     block of se grand ave  portland  or  portland fire  rp                    pdx   
182,brokenargyle,for a forest to rejuvenate itself  it first must survive a great fire that burns itself to the ground  hopefully sparing enough leyefe to allow it to grow again  sadly  like all things    
183,nell stephenson,happy birthday  mom  today would ve been her   nd birthday  she never once played a victim or showed even the slightest hint of negativity throughout the entire duration of nearly       
184,mult co fire ems log,almaud   audible fire alarm at      block of se tenino st  portland  or  portland fire  rp                    pdx   
185,mult co fire ems log,med   medical at      block of ne    th pl  portland  or  portland fire  rp                    pdx   
186,mult co fire ems log,med   medical at      block of se    nd ave  portland  or  portland fire  rp                    pdx   
187,mult co fire ems log,med   medical at      block of nw   th ave  portland  or  portland fire  rp                    pdx   
188,patrick malley,         sometimes you seek paradise  other times you stumble across it            utah  slc  visualsofearth  ill landscapes  gooutsideandplay  themodrendayexplorer  discoverearth    
189,mult co fire ems log,med   medical at      block of ne   nd ave  portland  or  portland fire  rp                    pdx   
190,mult co fire ems log,almcom   monitored commercial fire alarm at      block of sw morrison st  portland  or  portland fire  rp                    pdx   
191,mult co fire ems log,med   medical at      block of ne   nd ave  portland  or  portland fire  rp                    pdx   
192,mult co fire ems log,med   medical at      block of ne   nd ave  portland  or  portland fire  rp                    pdx   
193,michael capponi,i think it s important the public understands just how special paradise california was before the fire  sometimes it s hard to relate to another town when all you see is destruction  this    
194,mult co fire ems log,almaud   audible fire alarm at      block of se tenino st  portland  or  portland fire  rp                    pdx   
195,mult co fire ems log,almcom   monitored commercial fire alarm at      block of ne argyle dr  portland  or  portland fire  rp                    pdx   
196,justin sanchez,good morning southern california  it was magic watching the sunrise this morning from my favorite beach in malibu  sad to see so much of it charred from the fires  grateful that it will    
197,mult co fire ems log,med   medical at       block of se holgate blvd  portland  or  portland fire  rp                    pdx   
198,mult co fire ems log,med   medical at se    nd ave   se division st  portland  or  portland fire  rp                    pdx   
199,nautiqarose,our hearts go out to all the victims of the california fires   california fires    will donate a percentage of the sale of every bottle of nautiqa rose until    
200,mult co fire ems log,almcom   monitored commercial fire alarm at      block of ne argyle dr  portland  or  portland fire  rp                    pdx   
201,mult co fire ems log,med   medical at      block of se   nd ave  portland  or  portland fire  rp                    pdx   
202,mult co fire ems log,med   medical at     block of nw irving st  portland  or  portland fire  rp                    pdx   
203,mult co fire ems log,almcom   monitored commercial fire alarm at      block of se tenino st  portland  or  portland fire  rp                    pdx   
204,mult co fire ems log,elev   elevator rescue at sw  rd ave   sw alder st  portland  or  portland fire  rp                    pdx   
205,mult co fire ems log,med   medical at       block of se main st  portland  or  portland fire  rp                    pdx   
206,luis felipe gaspar,bomberos mexicali   fotografodebomberos  luisfelipegaspar  bomberos  mexicali  capacitacion  bomberosmexicali  luisfelipegaspar  mexicali  bajacalifornia  fire  photography    
207,mult co fire ems log,med   medical at      block of nw   th ave  portland  or  portland fire  rp                    pdx   
208,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
209,mult co fire ems log,med   medical at      block of ne   th ave  portland  or  portland fire  rp                    pdx   
